country,ico_start,ico_end,price_usd,success,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
Estonia,04/07/2019,31/08/2019,0.03,Y,0.45,NA,4.50E+07,No,1,0,"United States, China",NA,NA,NA,NA,NA,"ETH, BTC, USDC, EUR",https://stabledex.io/download/Whitepaper.pdf,https://www.linkedin.com/company/stabledex/,https://www.github.com/stabledex?tab=repositories,https://stabledex.io/?utm_source=icobench,3.4,3,1
Estonia,26/08/2019,27/08/2019,1.44E-02,Y,NA,NA,1.00E+07,NA,1,0,NA,NA,Available,26/08/2019,27/08/2019,2.81E-02,ETH,http://allbebet.io/docs/white_paper_eng.pdf,https://www.linkedin.com/company/allbebetcom/,None,https://allbebet.io?utm_source=icobench,3.9,11,1
UK,18/06/2019,01/11/2019,0.3,Y,0.7,NA,7.00E+06,NA,1,0,NA,NA,NA,NA,NA,NA,"ETH, BTC",https://centex.io/s_files/CENTEX_WP_V1.pdf,https://www.linkedin.com/company/centexltd/,None,https://centex.io/?utm_source=icobench,1.8,1,1
South Korea,23/03/2019,26/03/2019,0.02,Y,0.1,NA,5.00E+07,NA,0,0,NA,NA,NA,NA,NA,NA,"PROB, BTC, ETH, XRP, EOS, STEEM",NA,https://www.linkedin.com/company/steemhunt/,https://www.github.com/Steemhunt?tab=repositories,https://token.steemhunt.com/?utm_source=icobench,2.9,10,1
Cyprus,05/08/2019,31/10/2019,0.2,Y,0.7,NA,1.08E+08,No,0,0,"Citizens of China, Singapore and USA are restricted from participating in Token Sale.",30 USD,Available,22/04/2019,14/06/2019,0.11,"BTC, ETH, LTC",https://pbet.io/documents/pbet-white-paper-2019-1.pdf,NA,https://www.github.com/PbetProject?tab=repositories,https://pbet.io/?utm_source=icobench,4.1,16,1
Macedonia,02/05/2019,03/05/2019,0.01,Y,0.2,NA,1.00E+08,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,https://www.bitstars.io/WHITEPAPER1.1.pdf,https://www.linkedin.com/company/bitstarsio/,None,https://www.bitstars.io/?utm_source=icobench,2.7,8,1
UK,28/06/2019,30/09/2019,4.08E-02,Y,0.2245,NA,224502081,Yes,1,0,NA,0.1 ETH,NA,07/05/2018,17/06/2018,NA,ETH,https://drive.google.com/file/d/1gKlwCkRAS_2y3gqyda_DfoZayHw-Qfe9/view,https://www.linkedin.com/company/agrolifecoin/,https://www.github.com/MPCXPlatformLTD?tab=repositories,http://mpcx.co?utm_source=icobench,3.9,16,1
Germany,11/05/2019,15/06/2019,0.8,Y,1,NA,2.40E+07,No,1,0,NA,NA,NA,NA,NA,0.08,"ETH, BTC",NA,https://www.linkedin.com/company/opiria/,https://www.github.com/opiria-pdata?tab=repositories,https://opiria.io/?utm_source=icobench,4,16,1
Spain,04/11/2019,30/12/2019,4.24E-02,Y,NA,NA,2.50E+08,No,1,0,"United States, Canada, UK, Australia, France, South Africa, New Zealand, Japan, People’s Republic of China, Singapore, South Korea, Israel, Cayman Islands.",NA,Available,NA,NA,NA,"ETH, BTC, LTC",https://agrolifecoin.com/ico/wp-content/uploads/2019/05/WhitePaper-EN.pdf,https://www.linkedin.com/company/agrolifecoin/,None,https://agrolifecoin.com/ico?utm_source=icobench,3.4,5,0
Unknown,08/08/2019,14/08/2019,2.50E-02,Y,0.1,NA,1.00E+08,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,https://uos.network/whitepaper.pdf?05072019,https://www.linkedin.com/company/ucommunity/,https://www.github.com/UOSnetwork?tab=repositories,https://uos.network?utm_source=icobench,2.9,11,1
Netherlands,29/06/2019,29/08/2019,0.4,Y,0.15,NA,3.00E+07,No,1,0,NA,50 USD,NA,26/12/2018,28/02/2019,0.35,"BTC, ETH, USDT, LA",https://www.globalfuneralcare.org/wp-content/uploads/2018/12/Global-Funeral-Care-White-Paper-1.0.pdf,https://www.linkedin.com/company/globalfuneralcare/,https://www.github.com/globalfuneralcare?tab=repositories,https://www.globalfuneralcare.org/?utm_source=icobench,3.7,4,1
UK,01/04/2019,30/09/2019,0.2,Y,0.65,NA,1.17E+08,Yes,1,0,None,250 CXG,Available,01/05/2019,30/06/2019,0.1796,"ETH , BTC",https://coinxes.io/whitepaper.pdf,https://www.linkedin.com/company/coinxes-p2p-4a992a172/,https://www.github.com/Coinxes?tab=repositories,https://www.coinxes.io/?utm_source=icobench,3.9,16,1
Latvia,17/06/2019,31/07/2019,0.01,Y,0.5,NA,5.00E+09,No,0,0,USA,150 USD,Available,20/04/2019,05/06/2019,5.00E-03,ETH,NA,https://www.linkedin.com/company/coinomy1/,https://www.github.com/cryptomarketads?tab=repositories,https://www.cryptomarketads.com?utm_source=icobench,4.3,15,1
Estonia,30/10/2019,31/10/2019,0.19,Y,0.8375,NA,1.20E+08,Yes,1,0,NA,NA,Available,NA,NA,0.18,ETH,https://mlgc.io/ML_whitepaper_EN.pdf,https://www.linkedin.com/in/marshal-lion-group-%D1%81oin/,https://www.github.com/MarshalLionGroupcoin?tab=repositories,https://mlgc.io/?utm_source=icobench,3.4,15,1
Seychelles,26/08/2019,27/08/2019,0.03,Y,0.4,NA,4.00E+08,No,0,0,USA,50 BFX,Available,04/10/2018,23/10/2018,2.40E-02,"BTC, ETH, XRP, PROB, USDT",https://www.idap.io/docs/idap-io-whitepaper.pdf,https://www.linkedin.com/company/lnxprotocol/,None,https://www.idap.io/?utm_source=icobench,3.6,1,1
Israel,24/06/2019,27/06/2019,2.30E-02,Y,0.1,NA,650000,NA,0,0,NA,NA,Available,NA,NA,NA,ETH,https://www.docdroid.net/sAMYojj/blockium-whitepaper-pdf,https://www.linkedin.com/company/refinemedium/,None,https://www.blockium.io/Home/Welcome?utm_source=icobench,2.6,5,1
Japan,01/01/2019,20/03/2019,0.04,Y,0.5,NA,5.00E+08,No,1,0,none,10 ETH,NA,12/11/2018,14/12/2018,2.70E-02,"BTC, ETH, XRP, BCH, Fiat",http://www.gstarcoin.info/download/Gstar%20Whitepaper_English%201.3.pdf,https://www.linkedin.com/company/gstarcoin/,None,http://www.gstarcoin.info/index.html?utm_source=icobench,3.2,16,1
Singapore,18/04/2019,28/04/2019,4.10E-02,Y,0.3,NA,2.40E+08,No,1,0,"USA, China",400 XPN,Available,21/02/2019,18/03/2019,NA,"BTC, ETH, Fiat",https://drive.google.com/file/d/15OC78RdtQT1j_G2-WFEjSi9MXlKO78yZ/view,https://www.linkedin.com/company/pantheonx/,https://www.github.com/pantheonxproject?tab=repositories,https://pantheonx.io/?utm_source=icobench,3.4,14,1
UK,01/07/2020,31/10/2020,0.45,N,0.24,NA,1.10E+07,No,0,0,None,50 USD,NA,22/06/2020,30/06/2020,0.36,"ETH, BTC, FIAT",https://www.rowanenergy.com/RowanEnergy-Concept-document.pdf,https://www.linkedin.com/company/rowanenergy/,None,https://www.rowanenergy.com?utm_source=icobench,4.9,5,0
Estonia,25/05/2020,27/05/2020,2.00E-03,N,85,NA,1.00E+09,No,0,0,USA,100 USD,Available,18/05/2020,20/05/2020,8.00E-03,ETH,https://mydogdata.com/pdf/DogdataLitewhitepaper.pdf,https://www.linkedin.com/company/dogdata/,https://www.github.com/dogdata?tab=repositories,https://dogdata.io/?utm_source=icobench,5,8,1
Unknown,20/03/2020,21/03/2020,0.01,N,0.5,NA,5.00E+08,NA,0,0,NA,NA,Available,22/09/2019,04/12/2019,0.01,"USDT, BTC, ETH, XRP",https://drive.google.com/file/d/1ZW_SINFg-oT06DBrTTiwAOu0V4IyGetm/view,https://www.linkedin.com/company/emjac/,None,https://skybit.asia/?utm_source=icobench,2,16,1
Singapore,12/03/2020,28/02/2020,1.00E-04,N,0.25,NA,5.00E+10,Yes,0,1,"Can not Participate: USA, China, Japan, Canada, Afghanistan, Bosnia And Herzegovina, Democratic People's Republic of Korea (DPRK), Ethiopia, Iran, Iraq, Pakistan, Syria, Sri Lanka, Trinidad and Tobago, Tunisia, Uganda, Yemen.",NA,Available,NA,NA,NA,ETH,https://prediqt.io/wp-content/uploads/2020/01/Prediqt-IEO-Businesss-Investor-Whitepaper-v5.6-for-website-February-2020.pdf,https://www.linkedin.com/company/mintmine/,https://www.github.com/prediqtco?tab=repositories,https://prediqt.io/?utm_source=icobench,4.4,7,1
Malaysia,10/03/2020,10/04/2020,0.11,N,0.7,NA,3.50E+08,No,1,0,NA,NA,NA,25/11/2019,20/12/2019,4.80E-02,"BTC, ETH, USDC",https://emjac.io/assets/emjac_wp.pdf,https://www.linkedin.com/company/emjac/,https://www.github.com/EmjacIO?tab=repositories,https://www.emjac.io?utm_source=icobench,4.1,11,1
Canada,24/02/2020,01/04/2020,0.5742,N,0.75,NA,3.40E+07,No,0,0,"USA, Canada, China",100 USD,NA,NA,NA,NA,"USD, ETH",https://mintmine.io/wp-content/uploads/2020/03/MintMine_Whitepaper-2020_v2.pdf,https://www.linkedin.com/company/mintmine/,https://www.github.com/mintmine?tab=repositories,http://mintmine.io/?utm_source=icobench,3.8,16,1
Malta,05/02/2020,10/02/2020,7.00E-04,N,NA,NA,1.00E+08,NA,0,0,NA,NA,NA,NA,NA,NA,"ETH, BTC, Fiat",https://www.hnb-ex.com/pdf/hbxt-whitepaper.pdf,https://www.linkedin.com/company/dain/,None,https://www.hnb-ex.com/?utm_source=icobench,2.3,NA,1
Cayman Islands,31/01/2020,31/03/2020,0.05,N,0.1,NA,2.50E+07,No,1,0,"Off limits to residents of Afghanistan, Bosnia And Herzegovina, Cayman Islands, Democratic People's Republic of Korea (DPRK), Ethiopia, Iran, Iraq, Pakistan, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, Uganda, the United States, Yemen",NA,Available,NA,NA,0.05,"ETH, BTC, Fiat",https://multichain.ventures/assets/docs/multichain-ventures-whitepaper.pdf,https://www.linkedin.com/company/nextexchange/,https://www.github.com/tksventures?tab=repositories,https://multichain.ventures?utm_source=icobench,3.4,6,0
Spain,27/01/2020,27/04/2020,1.20E-02,N,0.07,NA,4.20E+07,No,1,0,USA,1,NA,NA,NA,NA,"ETH, BTC",https://dain.ai/docs/DAIN%20-%20Whitepaper_ENG.pdf,https://www.linkedin.com/company/dain/,None,https://dain.ai?utm_source=icobench,3.9,7,1
Unknown,20/01/2020,10/02/2020,0.2,N,0.35,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,NA,https://www.linkedin.com/company/monetorb/,https://www.github.com/afsheenjafry?tab=repositories,https://www.monetorb.com/?utm_source=icobench,2.9,NA,1
USA,16/01/2020,22/01/2020,0.2,N,0.13,NA,5.00E+07,No,1,0,USA,NA,Available,15/10/2019,29/10/2019,0.2,"BTC, ETH, USDT, PROB",https://www.nexxusuniversity.com/Attachments/38/21/NexxusWhitepaper.pdf,NA,https://www.github.com/NexxusUniversity?tab=repositories,http://www.nexxusrewards.io?utm_source=icobench,4.1,7,1
Gibraltar,14/01/2020,14/02/2020,0.1,N,0.65,NA,5.00E+08,Yes,1,0,"USA, CANADA, JAPAN",NA,Available,NA,NA,NA,"ETH, BTC",https://karus-chain.s3-us-west-2.amazonaws.com/KarusWP_English+v5+(1).pdf,https://www.linkedin.com/company/karuschain/,None,https://www.karuschain.com/?utm_source=icobench,3.7,13,1
Slovenia,06/01/2020,03/02/2020,7.00E-02,N,0.71,NA,5.00E+08,No,1,0,South Korea; People’s Republic of China; State of Israel; United States,49 USD,NA,07/10/2019,07/01/2020,0.119,"BTC, ETH, LTC, DASH, Fiat",http://co-initiative.io/wp-content/uploads/2019/09/WhitePaper_COI-compressed.pdf,NA,https://www.github.com/CarbonOffestInitiative?tab=repositories,http://co-initiative.io/?utm_source=icobench,3.7,11,1
Singapore,06/01/2020,04/02/2020,0.01,N,0.4444,NA,2.00E+09,Yes,1,0,"USA, China",0.1 ETH,NA,NA,NA,NA,"BTC, ETH, Fiat",NA,https://www.linkedin.com/company/cube-chain/,None,https://www.iatokens.com/?utm_source=icobench,3.1,11,1
Estonia,03/01/2020,20/01/2020,0.25,N,0.42,NA,4.20E+07,No,0,0,NA,NA,NA,NA,NA,NA,"ETH, BTC, Fiat",https://wolfs.group/wp-content/uploads/2020/01/Whitepaper-Wolfs-Group-OU_EN.pdf,https://www.linkedin.com/company/wolfs-group/,https://www.github.com/WolfsGroup?tab=repositories,https://wolfs.group/?utm_source=icobench,3.2,7,1
Malaysia,30/12/2019,09/01/2020,3.10E-02,N,25,NA,3.00E+08,Yes,1,0,"USA, China, Singapore",0.1 ETH,NA,NA,NA,NA,ETH,https://www.cubechain.io/assets/file/Cube%20Chain_ENG.pdf,https://www.linkedin.com/company/cube-chain/,https://www.github.com/cubechainofficial?tab=repositories,https://www.cubechain.io/?utm_source=icobench,3.7,12,1
USA,27/12/2019,02/01/2020,2.70E-02,N,0.68,NA,5.75E+08,No,0,0,"United States of America, People's Republic of China (but not including",,,,,,,,,,,,,
,,,,Y,,,,,,,,,,,,,,,,,,,,
,,,,Y,,,,,,,,,,,,,,,,,,,,
,,,,Y,,,,,,,,,,,,,,,,,,,,
,,,,Y,,,,,,,,,,,,,,,,,,,,
,,,,Y,,,,,,,,,,,,,,,,,,,,
,,,,Y,,,,,,,,,,,,,,,,,,,,
,,,,Y,,,,,,,,,,,,,,,,,,,,
,,,,Y,,,,,,,,,,,,,,,,,,,,
NA,1,"BTC, ETH, USDT",https://newpaw.web.app/whitepaper,Y,https://www.github.com/solidified-platform?tab=repositories,https://newpaw.web.app/?utm_source=icobench,4.4,16,5086,1,,,,,,,,,,,,,,
Unknown,24/12/2019,30/12/2019,0.1,N,0.38,NA,1250000,NA,0,0,NA,0.0007 BTC,Available,24/09/2019,30/11/2019,NA,"ETH, BTC, Fiat",NA,https://www.linkedin.com/company/bitcoinclassic/,https://www.github.com/22Developers?tab=repositories,https://bitcoinxc.org/?utm_source=icobench,2.1,3,0
USA,23/12/2019,20/02/2020,5.00E-03,N,NA,NA,1.00E+12,NA,0,0,NA,NA,NA,02/12/2019,15/01/2020,5.00E-03,"BTC, ETH",https://docs.google.com/document/d/1nF7ZwjGV42LTUdq1Tk9GfS5LKpV6kxcRYwdh_Nwsn64,https://www.linkedin.com/in/shopereum-coin-5370a0194/,None,https://www.stib.co/?utm_source=icobench,2.3,1,1
Unknown,17/12/2019,20/12/2019,1.50E-03,N,NA,NA,NA,NA,1,0,NA,NA,Available,NA,NA,NA,"USDT, BTC, ETH, XRP",https://stepchain.net/images/whitepaper.pdf,https://www.linkedin.com/company/the-hustle-app/,None,https://stepchain.net/?utm_source=icobench,3.4,NA,1
USA,10/12/2019,07/02/2020,0.06,N,0.51,NA,1.50E+07,No,0,0,NA,1,NA,NA,NA,NA,ETH,https://www.hustletoken.org/read/HUSL-Whitepaper-2.1.4.pdf,https://www.linkedin.com/company/the-hustle-app/,https://www.github.com/HustleToken?tab=repositories,https://www.hustletoken.org/?utm_source=icobench,3.8,7,1
Estonia,09/12/2019,06/01/2020,1.30E-02,N,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.01,"USDT, BTC, ETH, XRP",https://www.pocketnode.net/documents/NODE%20-%20The%20White%20Paper.pdf,https://www.linkedin.com/company/pocket-node/,None,https://www.pocketnode.net/#?utm_source=icobench,2,NA,1
USA,09/12/2019,20/01/2020,1.80E-02,N,0.3,NA,1.50E+07,NA,1,0,NA,NA,NA,NA,NA,NA,"BTC, ETH",https://hellotig.com/pdf/tig-latoken-whitepaper-v1.pdf,https://www.linkedin.com/company/ixinium/,None,0,2.6,2,1
Estonia,05/12/2019,23/04/2020,8.4265,N,185,NA,1.00E+08,No,0,0,NA,NA,NA,01/06/2019,30/09/2019,3.548,"ETH, BTC, Fiat",https://ixinium.io/whitepaper.pdf,https://www.linkedin.com/company/ixinium/,None,https://ixinium.io/?utm_source=icobench,2.9,5,0
UK,05/12/2019,09/01/2020,0.63,N,0.6,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.41,"USDT, BTC, ETH, XRP, PROB",https://torex.one/media/documents/Torex_White_Paper_English2.2.pdf,https://www.linkedin.com/company/torex-one/,None,https://torex.one?utm_source=icobench,2.8,10,1
Brazil,04/12/2019,31/12/2019,1.71E-02,N,127,NA,414430014,No,1,0,"EUA, China, Bahamas, Botswana, Camboja, Coreia do Norte, Etiópia, Gana, Guiné-Bissau, Iêmen, Irã, Iraque, Líbano, Líbia, Mali, Paquistão, República Centro-Africana, República Democrática do Congo, Sérvia, Síria, Somália, Sri Lanka, Sudão, Sudão do Sul, Trinidade e Tobago, e Tunísia.",NA,Available,03/12/2019,20/12/2019,NA,"ETH, BTC, LTC",https://monnos.com/en/white-paper/,https://www.linkedin.com/company/monnosglobal/,https://www.github.com/monnos?tab=repositories,https://monnos.com/en/mns-token-initial-exchange-offering/?utm_source=icobench,4.3,8,1
South Korea,27/11/2019,29/11/2019,4.20E-03,N,0.2,NA,4.00E+08,NA,0,0,NA,NA,NA,NA,NA,NA,"ETH, USD",http://www.juchating.io/data/JUCHATING_Whitepaper_EN_ver2.1.pdf,NA,None,http://www.juchating.io/en?utm_source=icobench,2.6,NA,1
United Arab Emirates,25/11/2019,02/12/2019,4.00E-03,N,0.5,NA,5.00E+09,No,1,0,USA,NA,NA,23/09/2019,09/10/2019,NA,"ETH, BTC, USDT, USD",https://www.freelanex.io/wp-content/uploads/2019/10/Whitepaper-Freelanex-1.pdf,NA,https://www.github.com/freelanex?tab=repositories,https://www.freelanex.io/?utm_source=icobench,4.1,15,1
USA,22/11/2019,01/02/2020,0.04,N,0.4,NA,1.00E+10,NA,1,0,NA,40 USD,NA,NA,NA,NA,"ETH, BTC, Fiat",https://www.ridenode.io/wp-content/uploads/2019/11/RideToken-WhitePaper-Version3.0.pdf,https://www.linkedin.com/company/bayrideinc/,https://www.github.com/ridenode?tab=repositories,https://ridenode.io?utm_source=icobench,4,4,1
Malta,20/11/2019,28/11/2019,0.02,N,NA,NA,1.00E+07,NA,0,0,NA,1000,Available,NA,NA,NA,"ETH, BTC, Fiat",https://gcalliance.io/wp-content/uploads/Whitepaper-GCA-Global-Crypto-Alliance-Call-Token-The-First-ERC777.pdf,https://www.linkedin.com/company/globalcryptoalliance/,https://www.github.com/Global-Crypto-Alliance?tab=repositories,https://gcalliance.io/?utm_source=icobench,3.3,8,1
Malaysia,20/11/2019,25/12/2019,1.30E-02,N,0.62,NA,92900000,No,1,0,USA,NA,NA,16/09/2019,20/09/2019,7.23E-02,"ETH, USDT",NA,NA,https://www.github.com/shadiyarPXB?tab=repositories,https://www.pixby.io?utm_source=icobench,2.7,5,1
Unknown,18/11/2019,09/01/2020,0.01,N,0.2,NA,1.00E+09,NA,1,0,NA,NA,NA,NA,NA,NA,"ETH, BTC, Fiat",https://drive.google.com/file/d/1I8saGafeyI2VNqXBuGzOnm31ikXVoo55/view,NA,None,https://bitkam.io/?utm_source=icobench,2.6,NA,1
Japan,16/11/2019,22/10/2019,0.1,N,0.5,NA,5.00E+08,Yes,1,0,NA,NA,Available,NA,NA,NA,"USDT, BTC, DFT",https://static1.squarespace.com/static/5ca7fb6470468037cc3270f2/t/5d5dfb631f45bf000153ce39/1566440330067/20190814DWC%2BEnglish1_054.pdf,https://www.linkedin.com/company/digital-wallet-corporation/,None,https://www.dwcproject.com/eng?utm_source=icobench,2.3,NA,1
Singapore,13/11/2019,25/12/2019,0.3,N,0.25,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,NA,NA,None,http://www.urcc9.com/en/about/map.php?utm_source=icobench,2,1,1
Samoa,13/11/2019,22/11/2019,0.4,N,0.5,NA,NA,No,1,0,NA,NA,NA,NA,NA,NA,"USD, ETH, BTC",https://www.citios.io/assets/CitiOS_Whitepaper-e9acad274b3bd3121964deeb8703ec1b97da1f8b2d78a87aa03710d1fc9538f2.pdf,https://www.linkedin.com/company/citi-os/,None,https://www.citios.io/?utm_source=icobench,2.8,6,1
Unknown,11/11/2019,18/11/2019,3.00E-03,N,0.05,NA,5.00E+08,NA,1,0,NA,NA,NA,NA,NA,NA,"BTC, ETH, USDC",https://docsend.com/view/i98xgq9,https://www.linkedin.com/company/blobflow/,None,https://www.blobflow.com/?utm_source=icobench,2.4,NA,1
Unknown,06/11/2019,11/12/2019,0.04,N,0.2,NA,2.00E+08,NA,1,0,NA,20 USD,NA,NA,NA,NA,BTC,https://k.im/download/whitepaper.pdf,https://www.linkedin.com/company/kimcoinofficial/,https://www.github.com/KimCoinOfficial?tab=repositories,https://k.im?utm_source=icobench,3.1,NA,NA
New Zealand,04/11/2019,22/11/2019,1,N,103,NA,10300000,No,1,0,"Afghanistan, Albania, Bahamas, Belarus, Bosnia & Herzegovina, Botswana, Burundi, Cambodia, Canada, Central African Republic, Cote D’Ivoire, Crimea, Cuba, Democratic People’s Republic of Korea, Democratic Republic of Congo, Eritrea, Ethiopia, Ghana, Guinea, Guinea-Bissau, Iran, Iraq, Japan, Kosovo, Kyrgyzstan, Laos, Lebanon, Liberia, Libya, Macedonia, Malawi, Mali, Moldova, Mozambique, Myanmar (Burma), Pakistan, Serbia, Somalia, South Sudan, Sudan, Syria, Tanzania, Timor-Leste, Trinidad & Tobago, Tunisia, Turkmenistan, Uganda, United States of America (USA) and USA territories, Uzbekistan, Venezuela, Yemen, and Zimbabwe.",None,Available,NA,NA,NA,"USD, BTC, ETH",https://assets.ctfassets.net/sdlntm3tthp6/4g5pw2qjOUQQoOAusY1zgB/cfff51e7e663f1e908a52f3728dd8cdb/BNC-Token-White-Paper-v1.1-EN.pdf,NA,https://www.github.com/BlockchainLabsNZ?tab=repositories,https://www.probit.com/en-us/ieo/bnc-round1/1?utm_source=ICObench%20Listing%20Page&utm_medium=cpc&utm_campaign=BNC&utm_content=ICObench%20Listing%20Page,3.5,6,1
Singapore,31/10/2019,31/12/2019,1.20E-02,N,0.5,NA,4499999999,No,1,0,"Afghanistan, Bosnia And Herzegovina, Cayman Islands, Democratic People’s Republic of Korea, Ethiopia, Iran, Iraq, Pakistan, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, Uganda, the United States of America, Yemen.",NA,NA,NA,NA,6.00E-03,ETH,https://cestates.io/assets/download/cestates_whitepaper.pdf,https://www.linkedin.com/company/cestates-inc/,None,https://www.cestates.io?utm_source=icobench,3.7,7,0
USA,24/10/2019,30/11/2019,0.75,N,0.55,NA,5.50E+08,Yes,1,0,NA,10 USD,Available,26/09/2019,24/10/2019,0.25,"BTC, ETH, USD, XRP, LTC, EOS, ADA",https://drive.google.com/drive/folders/1xZJR3E2Dn-8GNkHQ_A58j61m2FyoX_bd,https://www.linkedin.com/company/stan-world/,https://www.github.com/stanworlddev?tab=repositories,https://stan.world/?utm_source=icobench,3.9,9,1
Unknown,23/10/2019,24/10/2019,0.46,N,0.0652,NA,6521739,NA,0,0,NA,NA,NA,NA,NA,0.46,"ETH, BTC, BNB",https://docsend.com/view/gwbwpc3,https://www.linkedin.com/company/kava-labs/,https://www.github.com/kava-labs?tab=repositories,https://www.kava.io/?utm_source=icobench,3.3,NA,0
UK,22/10/2019,15/11/2019,0.45,N,0.5,NA,4.00E+07,NA,0,0,NA,NA,Available,NA,NA,NA,"ETH, BTC",https://token.bankaero.com/bankaero-whitepaper.pdf,https://www.linkedin.com/company/gbc-korea/,None,https://bankaero.com/?utm_source=icobench,2.7,NA,1
Unknown,22/10/2019,08/11/2019,0.03,N,NA,NA,2.70E+07,NA,0,0,NA,20 USD,NA,NA,NA,NA,"ETH, BTC, Fiat",NA,https://www.linkedin.com/company/smart-trade-coin/,None,http://cryptococktailcoin.io/?utm_source=icobench,2.6,4,1
Unknown,22/10/2019,04/11/2019,NA,N,0.55,NA,5.50E+08,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,https://gbckorea.co.kr/wp-content/uploads/2019/04/WhitePaper_ENG_7.pdf,https://www.linkedin.com/company/gbc-korea/,None,https://gbckorea.co.kr/en/?utm_source=icobench,2.1,NA,1
Malta,21/10/2019,15/03/2020,4.50E-02,N,0.75,NA,5.40E+09,No,0,0,NA,10 USD,Available,15/10/2018,15/04/2019,4.50E-02,"ETH, BTC, Fiat",https://smarttradecryptobot.com/whitepaper/,https://www.linkedin.com/company/smart-trade-coin/,None,https://smarttradeico.io/?utm_source=icobench,3.1,6,1
USA,15/10/2019,31/10/2019,1,N,NA,NA,1.35E+10,NA,1,0,NA,NA,NA,NA,NA,0.05,"BTC, ETH, USDT",https://www.dropbox.com/s/74vbh6rq4tq7a3r/WhitepaperV12.1.pdf,https://www.linkedin.com/company/usscyber/,None,https://usscyber.com/?utm_source=icobench,1.8,NA,0
South Korea,14/10/2019,23/10/2019,1,N,0.2,NA,2.00E+10,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,NA,NA,None,https://spdx.io/?utm_source=icobench,2.6,NA,1
Unknown,10/10/2019,11/10/2019,8.00E-03,N,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"ETH, BTC, USDT, XRP",NA,https://www.linkedin.com/company/kuverit/,None,https://www.kuverit.io/?utm_source=icobench,2.4,NA,1
Singapore,10/10/2019,24/11/2019,0.1,N,0.56,NA,104720000,No,0,0,USA,NA,Available,21/10/2019,20/11/2019,0.1,"ETH, USDT, BTC",https://www.statizex.com/upload/documents/whitepaper.pdf,NA,None,https://www.statizex.com?utm_source=icobench,2.5,4,1
Unknown,07/10/2019,22/10/2019,0.01,N,0.2,NA,8.00E+07,No,1,0,NA,1000 S8,NA,NA,NA,NA,"ETH, BTC, Fiat",https://super8.network/super8_Network_Whitepaper.pdf,https://www.linkedin.com/company/super8-network-ltd/,https://www.github.com/super8-network?tab=repositories,https://super8.network/contact.html?utm_source=icobench,3.4,4,0
Switzerland,01/10/2019,31/10/2019,0.97,N,NA,NA,19500000,Yes,1,0,"USA, China, Japan, Saudi Arabia,","0,8 ETH",Available,NA,NA,NA,ETH,https://cdn2.hubspot.net/hubfs/5603921/Whitepaper%20Goldenugget.1.1.pdf,https://www.linkedin.com/company/goldenugget/,https://www.github.com/Goldenugget?tab=repositories,https://www.goldenugget.ch?utm_source=icobench,3.9,8,1
India,30/09/2019,10/10/2019,0.1,N,0.06,NA,6.00E+08,No,0,0,NA,NA,NA,01/08/2019,19/08/2019,1.10E-02,"ETH, BTC",NA,https://www.linkedin.com/company/fesschain/,https://www.github.com/Fesschain?tab=repositories,http://fesschain.live?utm_source=icobench,4.1,11,1
United Arab Emirates,27/09/2019,09/10/2019,1.00E-04,N,0.03,NA,3.00E+09,No,1,0,"USA, Israel, China, Iran, North Korea",NA,NA,16/09/2019,22/09/2019,4.00E-05,"ETH, BTC, USDT, XRP, PROB",https://dexacoin.net/wp-content/uploads/2019/09/DEXA-COIN-WHITEPAPER-ENGLISH-UPDATED-26H-SEP-2019.pdf,NA,https://www.github.com/DEXA-COIN?tab=repositories,https://dexacoin.net/?utm_source=icobench,4.2,5,1
Estonia,25/09/2019,25/10/2019,0.01,N,0.5,NA,1.50E+08,No,1,0,"USA, China",NA,Available,NA,NA,NA,"ETH, BTC, Fiat",https://www.navibration.com/Navibration-whitepaper-EN.pdf,https://www.linkedin.com/company/navibration-s-l/,https://www.github.com/Nonevibration?tab=repositories,https://www.navibration.com/?utm_source=icobench,3.5,18,1
Unknown,20/09/2019,21/12/2019,0.8,N,0.7,NA,3.50E+08,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,NA,NA,None,https://www.azumacoin.io/?utm_source=icobench,2.6,NA,1
UK,16/09/2019,18/11/2019,0.1,N,0.6,NA,6.00E+07,Yes,1,0,NA,NA,Available,NA,NA,NA,"ETH, BTC",https://curate.style/whitepaper.pdf,https://www.linkedin.com/company/curateproject/,https://www.github.com/curate-project?tab=repositories,https://curate.style?utm_source=icobench,4.3,15,1
