country,ico_start,ico_end,price_usd,success,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
Estonia,25/06/2018,23/07/2018,0.7592,Y,565,NA,9.20E+07,Yes,1,0,NA,0.1 ETH,Available,29/11/2017,15/12/2017,NA,ETH,http://etheal.com/etheal-wp-0.8.pdf,https://www.linkedin.com/company/AltEstate,https://www.github.com/thesved?tab=repositories,http://etheal.com/?utm_source=icobench,4.2,20,1
India,22/01/2019,23/11/2019,2.40E-03,N,0.5,NA,1.80E+09,No,1,0,"USA, Canada, North Korea, China",0.25 ETH,NA,03/09/2018,03/11/2018,NA,ETH,http://excaliburos.com/whitepaper/Excalibur-OS-whitepaperv1.1.pdf,NA,https://www.github.com/ExcaliburOS?tab=repositories,https://excaliburos.com/?utm_source=icobench,4.1,18,1
Singapore,15/09/2018,15/10/2018,4.26E-02,Y,0.5,NA,1.25E+08,Yes,1,0,"China, USA",0.5 ETH,Available,01/07/2018,01/09/2018,7.57E-02,ETH,https://drive.google.com/open?id=1m8pfxTT5WmQa5uqPEFypdLqzZ48A-D-e,NA,https://www.github.com/extradecoin?tab=repositories,https://extradecoin.com/?utm_source=icobench,3.7,15,1
Cayman Islands,01/02/2019,31/08/2019,0.25,N,0.55,NA,3.30E+08,Yes,1,0,"USA, Iran, Syria, North Korea, Crimea",NA,Available,NA,NA,NA,ETH,https://d2xbkms79gkggc.cloudfront.net/upload/184921/1533039998/FanChain_WhitePaper_1.1.pdf,https://www.linkedin.com/company/fanchain/,https://www.github.com/SportsCastrFanchain?tab=repositories,http://fanchain.com?utm_source=icobench,3.8,7,1
UK,01/03/2019,01/06/2019,0.01,N,0.12,NA,1.20E+09,No,0,0,None,100 USD,NA,NA,NA,NA,"ETH, BTC, Fiat",https://files.fm/f/ys6986tn,https://www.linkedin.com/company/files.fm/,https://www.github.com/files-fm?tab=repositories,https://files.fm/library?utm_source=icobench,4.1,20,1
Singapore,21/11/2018,31/12/2018,4.70E-02,Y,NA,NA,3.20E+08,No,1,0,NA,NA,Available,14/10/2018,14/11/2018,NA,"ETH, BTC",https://drive.google.com/file/d/1rYAQXQW0UJWLnxB7mYRHq3PxEsA4i8Bf/view,https://www.linkedin.com/company/next-generation-exchange-ltd-financex-exchange/,None,https://ico.financex.io?utm_source=icobench,4.1,10,1
Estonia,01/10/2018,15/12/2018,0.05,Y,0.5,NA,5.00E+08,Yes,1,0,"China, US, Bolivia, Ecuador, Pakistan, Algeria, Macedonia and Morocco",NA,Available,NA,NA,NA,"BTC, ETH",https://www.finlocale.io/pdf/FinlocaleWP.pdf,https://www.linkedin.com/company/finlocale/,https://www.github.com/panstvl?tab=repositories,https://www.finlocale.io/?utm_source=icobench,3.9,9,1
Panama,01/12/2018,15/12/2018,0.1,Y,0.6578,NA,2120089400,Yes,1,0,USA,NA,Available,01/07/2018,30/11/2018,NA,"BTC, ETH",https://fluzcoin.io/docs/Fluzcoin_Coin_Sale_Whitepaper.pdf,NA,https://www.github.com/Fluzcoin?tab=repositories,https://fluzcoin.io/?utm_source=icobench,3.5,25,1
UK,20/06/2018,18/07/2018,1.54E-02,Y,0.85,NA,848640000,Yes,1,0,USA,0.1 ETH,Available,24/04/2018,22/05/2018,1.77E-02,ETH,https://ftec.io/en/whitepaper,https://www.linkedin.com/company/ftec-io/,https://www.github.com/FtecFoundation?tab=repositories,https://ftec.io?utm_source=icobench,4.5,20,1
UK,01/08/2018,31/10/2018,1.6,Y,0.4,NA,2.00E+08,Yes,1,0,USA,100 USD,NA,01/05/2018,31/07/2018,1.149999976,"ETH, BTC",https://fxpay.io/pdf/WhitePaper-FXpay-page.pdf,https://www.linkedin.com/company/fxpay/,https://www.github.com/fxpayglobal?tab=repositories,https://fxpay.io?utm_source=icobench,3.9,5,1
Malta,31/07/2018,31/07/2018,5.57E-02,Y,0.35,NA,1.75E+09,Yes,1,0,"Algeria, Bangladesh, Bolivia, China, Hong Kong, Ecuador, Ethiopia, Indonesia, Iran, Iraq, Jordan, Korea, Kyrgyzstan, Macau, Morocco, Nepal, Serbia, Sri Lanka, Syria, Taiwan, Trinidad and Tobago, Tunisia, Vanuatu, Yemen and United States.",0.1 ETH,Available,04/07/2018,31/07/2018,NA,ETH,https://gamb.io/files/gamb-whitepaper.pdf,https://www.linkedin.com/company/gamb-io/,https://www.github.com/GAMBproject?tab=repositories,https://gamb.io?utm_source=icobench,4.2,38,1
Malta,01/03/2018,01/10/2018,4.20E-02,Y,0.6,NA,723925462,No,1,0,China,0.1 ETH,NA,NA,NA,NA,"ETH, BTC",https://gamblica.com/documents/WP_Gamblica_v.1.0.4_en.pdf,NA,https://www.github.com/modjke?tab=repositories,https://gamblica.com?utm_source=icobench,4.1,11,1
Switzerland,08/03/2019,30/06/2019,0.3,N,0.5,NA,1.00E+08,No,1,0,NA,NA,NA,03/11/2018,15/12/2018,0.23,"ETH, BTC, Fiat",https://www.gastroadvisor.com/whitepaper.pdf,https://sg.linkedin.com/company/bcoinsg,https://www.github.com/GastroAdvisor?tab=repositories,https://www.gastroadvisor.com/?utm_source=icobench,3.6,29,1
Singapore,08/08/2018,31/08/2018,0.6,N,0.8,NA,8.00E+08,Yes,1,0,"USA, Singapore",100 ACM,NA,NA,NA,NA,"BTC, ETH",https://gcox.com/whitepaper/Acclaim-GCOX%20whitepaper.pdf,https://www.linkedin.com/company/gcox-official/,None,https://gcox.com/?utm_source=icobench,2.9,19,0
Russia,15/10/2017,15/11/2017,1,Y,NA,NA,3.30E+07,NA,0,0,NA,NA,NA,15/09/2017,05/10/2017,NA,"BTC, ETH",https://genesis.vision/white-paper-eng.pdf,https://www.linkedin.com/company/genesis-vision/,https://www.github.com/GenesisVision?tab=repositories,https://genesis.vision/?utm_source=icobench,4,20,1
Cyprus,15/04/2019,01/05/2019,4.05E-02,N,0.65,NA,5.00E+07,Yes,1,0,NA,0.1 ETH,Available,15/03/2019,15/04/2019,125,"ETH, BTC",https://drive.google.com/file/d/1AZTWSnpttM6c2MmjfHXyAPbftly4-Ke5/view,https://www.linkedin.com/company/gese-official/,https://www.github.com/cromlehg?tab=repositories,https://gese.io/?utm_source=icobench,3.8,11,1
